epoch,accuracy,categorical_accuracy,loss,mean_io_u,val_accuracy,val_categorical_accuracy,val_loss,val_mean_io_u
0,0.894940197467804,0.894940197467804,0.24225418269634247,0.2503986656665802,0.8731406331062317,0.8731406331062317,0.31157130002975464,0.25
1,0.9396581053733826,0.9396581053733826,0.15159857273101807,0.26279938220977783,0.9286749958992004,0.9286749958992004,0.16914108395576477,0.25253215432167053
2,0.9504978060722351,0.9504978060722351,0.12334980070590973,0.2647247314453125,0.9098730683326721,0.9098730683326721,0.2574822008609772,0.2662679851055145
3,0.9586328864097595,0.9586328864097595,0.10458342730998993,0.27924203872680664,0.9441847801208496,0.9441847801208496,0.14372876286506653,0.2514016330242157
4,0.9641985893249512,0.9641985893249512,0.08949598670005798,0.2922089993953705,0.9519764184951782,0.9519764184951782,0.13199175894260406,0.31449049711227417
5,0.965887188911438,0.965887188911438,0.08532204478979111,0.31915122270584106,0.9519079327583313,0.9519079327583313,0.13394780457019806,0.3026445806026459
6,0.9705928564071655,0.9705928564071655,0.07414072006940842,0.3334318697452545,0.9570815563201904,0.9570815563201904,0.11724084615707397,0.2739337980747223
7,0.970492422580719,0.970492422580719,0.07416385412216187,0.33957940340042114,0.9529021978378296,0.9529021978378296,0.14954908192157745,0.3363778293132782
8,0.9727992415428162,0.9727992415428162,0.0678403303027153,0.36291247606277466,0.9398694038391113,0.9398694038391113,0.1739814281463623,0.3078111410140991
9,0.9729243516921997,0.9729243516921997,0.06730061769485474,0.37725403904914856,0.9537067413330078,0.9537067413330078,0.18772615492343903,0.3930589556694031
10,0.9746326804161072,0.9746326804161072,0.06291332095861435,0.3854621648788452,0.9576166272163391,0.9576166272163391,0.13485080003738403,0.3606477379798889
11,0.974879264831543,0.974879264831543,0.06253713369369507,0.39097070693969727,0.9564931988716125,0.9564931988716125,0.21584126353263855,0.4393215775489807
12,0.9735809564590454,0.9735809564590454,0.0684211477637291,0.3977612257003784,0.9169332385063171,0.9169332385063171,0.2345728874206543,0.2556365132331848
13,0.9676836729049683,0.9676836729049683,0.08364544063806534,0.3061692416667938,0.9557090997695923,0.9557090997695923,0.16148625314235687,0.3762314021587372
14,0.9762004017829895,0.9762004017829895,0.05856676027178764,0.38655394315719604,0.9581122398376465,0.9581122398376465,0.16791270673274994,0.41839784383773804
15,0.9783985614776611,0.9783985614776611,0.05343354120850563,0.4202244281768799,0.9549456238746643,0.9549456238746643,0.1959562599658966,0.4572278559207916
16,0.979077935218811,0.979077935218811,0.051604412496089935,0.437023401260376,0.9559397101402283,0.9559397101402283,0.18658596277236938,0.4148281216621399
17,0.9747158885002136,0.9747158885002136,0.0657179057598114,0.33130699396133423,0.9518507719039917,0.9518507719039917,0.16915151476860046,0.3268289566040039
18,0.9768742322921753,0.9768742322921753,0.057896826416254044,0.3279169797897339,0.9551310539245605,0.9551310539245605,0.1612083613872528,0.36418890953063965
19,0.9796751141548157,0.9796751141548157,0.04992293938994408,0.3880237340927124,0.955835223197937,0.955835223197937,0.1685066968202591,0.37406983971595764
20,0.9800155162811279,0.9800155162811279,0.04934195429086685,0.4074917733669281,0.9552321434020996,0.9552321434020996,0.20207640528678894,0.462384968996048
21,0.9798506498336792,0.9798506498336792,0.05017336085438728,0.4114793539047241,0.9529380798339844,0.9529380798339844,0.17898087203502655,0.36387163400650024
22,0.9798256754875183,0.9798256754875183,0.049905046820640564,0.4171566069126129,0.9551694989204407,0.9551694989204407,0.19645808637142181,0.4295353889465332
23,0.9782102704048157,0.9782102704048157,0.054639242589473724,0.38060033321380615,0.9538686871528625,0.9538686871528625,0.1583450883626938,0.3491780161857605
24,0.9807800054550171,0.9807800054550171,0.04775315895676613,0.4077604413032532,0.9526616930961609,0.9526616930961609,0.17998504638671875,0.38658684492111206
25,0.9818857312202454,0.9818857312202454,0.044439852237701416,0.4360392093658447,0.9534067511558533,0.9534067511558533,0.18700291216373444,0.39710474014282227
26,0.9819051623344421,0.9819051623344421,0.044530898332595825,0.42264583706855774,0.9532572627067566,0.9532572627067566,0.17768923938274384,0.429165244102478
27,0.9821048974990845,0.9821048974990845,0.04393022134900093,0.4582739770412445,0.9567497968673706,0.9567497968673706,0.18402960896492004,0.4157915413379669
28,0.9816768765449524,0.9816768765449524,0.045269690454006195,0.42913371324539185,0.9536457061767578,0.9536457061767578,0.21709303557872772,0.4239296019077301
29,0.9794673323631287,0.9794673323631287,0.05217590555548668,0.37322670221328735,0.9521442651748657,0.9521442651748657,0.19664137065410614,0.3514392375946045
30,0.9820782542228699,0.9820782542228699,0.044172633439302444,0.36961978673934937,0.9557057619094849,0.9557057619094849,0.18000999093055725,0.4424026608467102
31,0.9834137558937073,0.9834137558937073,0.040614038705825806,0.4244515895843506,0.9535391926765442,0.9535391926765442,0.2300482541322708,0.48337244987487793
32,0.9834592342376709,0.9834592342376709,0.04050111770629883,0.43265974521636963,0.9565297365188599,0.9565297365188599,0.1782650202512741,0.4178019165992737
33,0.983315110206604,0.983315110206604,0.04094281047582626,0.4272502064704895,0.9541469812393188,0.9541469812393188,0.16880840063095093,0.432883620262146
34,0.9823544025421143,0.9823544025421143,0.04351350665092468,0.40991830825805664,0.9509986639022827,0.9509986639022827,0.18858306109905243,0.4079876244068146
35,0.9820094108581543,0.9820094108581543,0.04492809250950813,0.4290107190608978,0.9559676051139832,0.9559676051139832,0.1958530694246292,0.36826086044311523
36,0.9831300973892212,0.9831300973892212,0.041749268770217896,0.4213211238384247,0.9550800323486328,0.9550800323486328,0.184533953666687,0.4095740020275116
37,0.9830541610717773,0.9830541610717773,0.04200998321175575,0.4220677614212036,0.9571294188499451,0.9571294188499451,0.1882026195526123,0.42791974544525146
38,0.984087347984314,0.984087347984314,0.03945250064134598,0.4321434795856476,0.9535447955131531,0.9535447955131531,0.21822963654994965,0.45950183272361755
39,0.9844977855682373,0.9844977855682373,0.03791072964668274,0.465911328792572,0.9542104601860046,0.9542104601860046,0.20478498935699463,0.4681847095489502
40,0.9849597811698914,0.9849597811698914,0.036795713007450104,0.4855806827545166,0.9557245969772339,0.9557245969772339,0.1768159717321396,0.42737680673599243
41,0.9806557297706604,0.9806557297706604,0.050394631922245026,0.424430787563324,0.954912543296814,0.954912543296814,0.17391178011894226,0.40152549743652344
42,0.9839776158332825,0.9839776158332825,0.03932689130306244,0.4512040615081787,0.9542362689971924,0.9542362689971924,0.2018732726573944,0.46081992983818054
43,0.9854861497879028,0.9854861497879028,0.03558306768536568,0.4861273765563965,0.9555736780166626,0.9555736780166626,0.17712002992630005,0.4096207022666931
44,0.9855549931526184,0.9855549931526184,0.03515671566128731,0.49173420667648315,0.9558193683624268,0.9558193683624268,0.19818948209285736,0.47087064385414124
45,0.9848802089691162,0.9848802089691162,0.03700582683086395,0.48713138699531555,0.9546427130699158,0.9546427130699158,0.2158253788948059,0.48929041624069214
46,0.984733521938324,0.984733521938324,0.037699032574892044,0.45468050241470337,0.9547039270401001,0.9547039270401001,0.18329715728759766,0.42374908924102783
47,0.98404860496521,0.98404860496521,0.03949786722660065,0.4219226837158203,0.9542176127433777,0.9542176127433777,0.19745422899723053,0.4725625216960907
48,0.9855405688285828,0.9855405688285828,0.0355050154030323,0.4516887664794922,0.9521669745445251,0.9521669745445251,0.17789044976234436,0.3422178030014038
49,0.9852924942970276,0.9852924942970276,0.03646451607346535,0.43173614144325256,0.9527316093444824,0.9527316093444824,0.20097616314888,0.4306512176990509
